source,airline,origin,destination,travel_date,booking_date,fare,tax,total_price,cabin_class,currency
Airline_A,IndiGo,BLR,DEL,2026-09-20,2026-09-04,4200,756,4956,Economy,INR
Airline_B,Air India,BLR,DEL,2026-09-20,2026-09-04,4800,864,5664,Economy,INR
OTA_A,IndiGo,BLR,DEL,2026-09-20,2026-09-04,4300,774,5074,Economy,INR
Airline_A,IndiGo,BLR,BOM,2026-09-20,2026-09-04,2800,504,3304,Economy,INR
Airline_B,Air India,BLR,BOM,2026-09-20,2026-09-04,3100,558,3658,Economy,INR
OTA_A,IndiGo,BLR,BOM,2026-09-20,2026-09-04,2900,522,3422,Economy,INR
Airline_A,IndiGo,DEL,BOM,2026-09-20,2026-09-04,3500,630,4130,Economy,INR
Airline_B,Air India,DEL,BOM,2026-09-20,2026-09-04,3900,702,4602,Economy,INR
OTA_A,IndiGo,DEL,BOM,2026-09-20,2026-09-04,3600,648,4248,Economy,INR
Airline_A,IndiGo,MAA,HYD,2026-09-20,2026-09-04,2200,396,2596,Economy,INR
Airline_B,Air India,MAA,HYD,2026-09-20,2026-09-04,2500,450,2950,Economy,INR
OTA_A,IndiGo,MAA,HYD,2026-09-20,2026-09-04,2300,414,2714,Economy,INR
Airline_A,IndiGo,DEL,HYD,2026-09-20,2026-09-04,3200,576,3776,Economy,INR
Airline_B,Air India,DEL,HYD,2026-09-20,2026-09-04,3600,648,4248,Economy,INR
OTA_A,IndiGo,DEL,HYD,2026-09-20,2026-09-04,3300,594,3894,Economy,INR
