origin,destination,airline,days_before_departure,typical_fare,current_fare,future_fare
BLR,DEL,IndiGo,30,5231,7200,6800
BLR,DEL,IndiGo,25,5231,7500,7100
BLR,DEL,IndiGo,20,5231,7800,7400
BLR,DEL,IndiGo,16,5231,8259,7800
BLR,DEL,IndiGo,12,5231,8500,8200
BLR,DEL,IndiGo,8,5231,9000,8800
BLR,DEL,IndiGo,5,5231,9500,9400
BLR,DEL,IndiGo,2,5231,10200,10100
BLR,DEL,Air India,30,5231,7600,7200
BLR,DEL,Air India,25,5231,7900,7500
BLR,DEL,Air India,20,5231,8200,7800
BLR,DEL,Air India,16,5231,8872,8400
BLR,DEL,Air India,12,5231,9100,8800
BLR,DEL,Air India,8,5231,9600,9300
BLR,DEL,Air India,5,5231,10000,9800
BLR,DEL,Air India,2,5231,10800,10600
BLR,BOM,IndiGo,30,3461,5200,4900
BLR,BOM,IndiGo,20,3461,5500,5200
BLR,BOM,IndiGo,16,3461,5800,5500
BLR,BOM,IndiGo,12,3461,6100,5900
BLR,BOM,IndiGo,8,3461,6500,6300
BLR,BOM,IndiGo,5,3461,7000,6800
DEL,BOM,IndiGo,30,4327,6000,5700
DEL,BOM,IndiGo,20,4327,6400,6100
DEL,BOM,IndiGo,16,4327,6800,6500
DEL,BOM,IndiGo,12,4327,7200,6900
DEL,BOM,IndiGo,8,4327,7700,7400
DEL,BOM,IndiGo,5,4327,8200,8000
DEL,HYD,IndiGo,30,3973,5800,5500
DEL,HYD,IndiGo,20,3973,6200,5900
DEL,HYD,IndiGo,16,3973,6800,6400
DEL,HYD,IndiGo,12,3973,7200,6900
DEL,HYD,IndiGo,8,3973,7800,7500
DEL,HYD,IndiGo,5,3973,8500,8200
MAA,HYD,IndiGo,30,2753,4500,4200
MAA,HYD,IndiGo,20,2753,4800,4500
MAA,HYD,IndiGo,16,2753,5200,4900
MAA,HYD,IndiGo,12,2753,5500,5300
MAA,HYD,IndiGo,8,2753,6000,5700
MAA,HYD,IndiGo,5,2753,6500,6200
