airline,origin,destination,booking_date,travel_date,total_price,cabin_class,currency
IndiGo,BLR,DEL,2026-08-01,2026-08-17,4200,Economy,INR
Air_India,BLR,DEL,2026-08-01,2026-08-17,4500,Economy,INR
IndiGo,DEL,BOM,2026-08-01,2026-08-17,3800,Economy,INR
Air_India,DEL,BOM,2026-08-01,2026-08-17,4000,Economy,INR
IndiGo,BLR,BOM,2026-08-01,2026-08-17,3000,Economy,INR
Air_India,BLR,BOM,2026-08-01,2026-08-17,3200,Economy,INR
IndiGo,BLR,DEL,2026-08-15,2026-08-31,4400,Economy,INR
Air_India,BLR,DEL,2026-08-15,2026-08-31,4700,Economy,INR
IndiGo,DEL,BOM,2026-08-15,2026-08-31,4000,Economy,INR
Air_India,DEL,BOM,2026-08-15,2026-08-31,4200,Economy,INR
IndiGo,BLR,BOM,2026-08-15,2026-08-31,3200,Economy,INR
Air_India,BLR,BOM,2026-08-15,2026-08-31,3400,Economy,INR
IndiGo,BLR,DEL,2026-09-01,2026-09-17,4800,Economy,INR
Air_India,BLR,DEL,2026-09-01,2026-09-17,5100,Economy,INR
IndiGo,DEL,BOM,2026-09-01,2026-09-17,4300,Economy,INR
Air_India,DEL,BOM,2026-09-01,2026-09-17,4500,Economy,INR
IndiGo,BLR,BOM,2026-09-01,2026-09-17,3500,Economy,INR
Air_India,BLR,BOM,2026-09-01,2026-09-17,3700,Economy,INR
IndiGo,BLR,DEL,2026-09-04,2026-09-20,5200,Economy,INR
Air_India,BLR,DEL,2026-09-04,2026-09-20,5500,Economy,INR
IndiGo,DEL,BOM,2026-09-04,2026-09-20,4700,Economy,INR
Air_India,DEL,BOM,2026-09-04,2026-09-20,4900,Economy,INR
IndiGo,BLR,BOM,2026-09-04,2026-09-20,3900,Economy,INR
Air_India,BLR,BOM,2026-09-04,2026-09-20,4100,Economy,INR
