source,airline,flight_number,origin,destination,travel_date,booking_date,departure_time,arrival_time,total_price,currency
Google Flights,IndiGo,6E 804,BLR,DEL,2026-09-20,2026-09-05,2026-09-20 03:00,2026-09-20 05:50,8259,INR
Google Flights,Akasa Air,QP 1359,BLR,DEL,2026-09-20,2026-09-05,2026-09-20 05:00,2026-09-20 07:50,8714,INR
Google Flights,Air India,AI 2868,BLR,DEL,2026-09-20,2026-09-05,2026-09-20 09:00,2026-09-20 12:00,8872,INR
Google Flights,IndiGo,6E 5205,BLR,BOM,2026-09-20,2026-09-05,2026-09-20 03:45,2026-09-20 05:30,4584,INR
Google Flights,Air India,AI 2858,BLR,BOM,2026-09-20,2026-09-05,2026-09-20 02:20,2026-09-20 04:10,5162,INR
Google Flights,Akasa Air,QP 1381,BLR,BOM,2026-09-20,2026-09-05,2026-09-20 04:50,2026-09-20 06:45,5488,INR
Google Flights,IndiGo,6E 6328,DEL,BOM,2026-09-20,2026-09-05,2026-09-20 10:15,2026-09-20 12:35,6425,INR
Google Flights,Air India,AI 2963,DEL,BOM,2026-09-20,2026-09-05,2026-09-20 09:00,2026-09-20 11:15,6582,INR
Google Flights,Akasa Air,QP 1110,DEL,BOM,2026-09-20,2026-09-05,2026-09-20 10:30,2026-09-20 12:45,6880,INR
Google Flights,IndiGo,6E 705,DEL,HYD,2026-09-20,2026-09-05,2026-09-20 08:30,2026-09-20 10:45,8825,INR
Google Flights,IndiGo,6E 882,DEL,HYD,2026-09-20,2026-09-05,2026-09-20 23:15,2026-09-21 01:30,8825,INR
Google Flights,Air India,AI 2577,DEL,HYD,2026-09-20,2026-09-05,2026-09-20 02:00,2026-09-20 04:20,8932,INR
Google Flights,IndiGo,6E 372,MAA,HYD,2026-09-20,2026-09-05,2026-09-20 09:55,2026-09-20 11:10,5758,INR
Google Flights,Air India Express,IX 1832,MAA,HYD,2026-09-20,2026-09-05,2026-09-20 13:45,2026-09-20 15:10,5862,INR
Google Flights,IndiGo,6E 6487,MAA,HYD,2026-09-20,2026-09-05,2026-09-20 21:25,2026-09-20 22:40,6166,INR
Google Flights,IndiGo,6E 193,MAA,HYD,2026-09-20,2026-09-05,2026-09-20 20:00,2026-09-20 21:25,6667,INR
