source,airline,flight_number,origin,destination,travel_date,booking_date,departure_time,arrival_time,total_price,currency
Google Flights,IndiGo,6E 804,BLR,DEL,2026-09-20,2026-09-05,2026-09-20 03:00,2026-09-20 05:50,8259,INR
Google Flights,Akasa Air,QP 1359,BLR,DEL,2026-09-20,2026-09-05,2026-09-20 05:00,2026-09-20 07:50,8714,INR
Google Flights,Air India,AI 2868,BLR,DEL,2026-09-20,2026-09-05,2026-09-20 09:00,2026-09-20 12:00,8872,INR
Google Flights,IndiGo,6E 6406,BLR,DEL,2026-09-20,2026-09-05,2026-09-20 22:00,2026-09-21 00:50,8259,INR
Google Flights,IndiGo,6E 2313,BLR,DEL,2026-09-20,2026-09-05,2026-09-20 23:30,2026-09-21 02:20,8259,INR
Google Flights,Air India,AI 2488,BLR,DEL,2026-09-20,2026-09-05,2026-09-20 22:30,2026-09-21 01:25,8415,INR
Google Flights,Akasa Air,QP 1811,BLR,DEL,2026-09-20,2026-09-05,2026-09-20 04:10,2026-09-20 07:00,8714,INR
Google Flights,IndiGo,6E 836,BLR,DEL,2026-09-20,2026-09-05,2026-09-20 05:05,2026-09-20 07:55,8715,INR
Google Flights,IndiGo,6E 844,BLR,DEL,2026-09-20,2026-09-05,2026-09-20 07:00,2026-09-20 09:50,8715,INR
Google Flights,IndiGo,6E 817,BLR,DEL,2026-09-20,2026-09-05,2026-09-20 20:40,2026-09-20 23:30,8715,INR
Google Flights,Air India,AI 2810,BLR,DEL,2026-09-20,2026-09-05,2026-09-20 06:00,2026-09-20 08:45,8872,INR
Google Flights,Air India,AI 2665,BLR,DEL,2026-09-20,2026-09-05,2026-09-20 19:40,2026-09-20 22:40,8872,INR
Google Flights,Akasa Air,QP 1823,BLR,DEL,2026-09-20,2026-09-05,2026-09-20 06:05,2026-09-20 08:50,9141,INR
Google Flights,IndiGo,6E 849,BLR,DEL,2026-09-20,2026-09-05,2026-09-20 08:15,2026-09-20 11:05,9201,INR
Google Flights,IndiGo,6E 830,BLR,DEL,2026-09-20,2026-09-05,2026-09-20 09:30,2026-09-20 12:30,9201,INR
Google Flights,Air India Express,IX 1040,BLR,DEL,2026-09-20,2026-09-05,2026-09-20 14:40,2026-09-20 17:30,9211,INR
Google Flights,Air India,AI 2414,BLR,DEL,2026-09-20,2026-09-05,2026-09-20 05:30,2026-09-20 08:25,9360,INR
Google Flights,Air India,AI 2804,BLR,DEL,2026-09-20,2026-09-05,2026-09-20 10:00,2026-09-20 13:00,9360,INR
Google Flights,Akasa Air,QP 1307,BLR,DEL,2026-09-20,2026-09-05,2026-09-20 17:20,2026-09-20 20:15,9628,INR
Google Flights,IndiGo,6E 6039,BLR,DEL,2026-09-20,2026-09-05,2026-09-20 17:00,2026-09-20 19:50,9720,INR
